station,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
SEA,2015.0,1.0,8,6,42.8,41.0,93.3,20.0,6.904679999999999,7.945767650399998,0.0,NA,0.25,2015-01-08T14:00:00Z
SEA,2015.0,1.0,8,7,42.08,39.92,91.98,30.0,5.7539,6.621473041999999,0.0,1024.6,0.12,2015-01-08T15:00:00Z
SEA,2015.0,1.0,8,8,41.0,39.92,95.9,350.0,3.4523399999999995,3.972883825199999,0.0,1024.8,0.12,2015-01-08T16:00:00Z
SEA,2015.0,1.0,8,9,41.0,39.92,95.9,30.0,3.4523399999999995,3.972883825199999,0.0,1025.0,0.12,2015-01-08T17:00:00Z
SEA,2015.0,1.0,8,10,41.0,39.02,92.59,20.0,6.904679999999999,7.945767650399998,0.0,1024.7,0.12,2015-01-08T18:00:00Z
SEA,2015.0,1.0,8,11,41.0,39.2,93.24,20.0,9.20624,10.594356867199998,0.0,NA,0.12,2015-01-08T19:00:00Z
SEA,2015.0,1.0,8,12,39.02,37.94,95.86,10.0,6.904679999999999,7.945767650399998,0.0,1023.1,0.25,2015-01-08T20:00:00Z
SEA,2015.0,1.0,8,13,39.2,37.4,93.19,360.0,9.20624,10.594356867199998,0.0,NA,0.25,2015-01-08T21:00:00Z
SEA,2015.0,1.0,8,14,39.2,37.4,93.19,360.0,9.20624,10.594356867199998,0.0,NA,0.25,2015-01-08T22:00:00Z
SEA,2015.0,1.0,8,15,39.02,37.94,95.86,20.0,6.904679999999999,7.945767650399998,0.0,1022.9,0.25,2015-01-08T23:00:00Z
SEA,2015.0,1.0,8,16,37.94,37.04,96.52,10.0,8.05546,9.2700622588,0.0,1023.2,0.25,2015-01-09T00:00:00Z
SEA,2015.0,1.0,8,17,37.4,37.4,100.0,30.0,5.7539,6.621473041999999,0.0,NA,0.25,2015-01-09T01:00:00Z
